Filter,,
,,
Sum - total_time,activity,
date,Walking,Total Result
2019-01-16,1342.174,1342.174
2019-01-17,1993.05,1993.05
2019-01-18,1778.574,1778.574
2019-01-27,2794.428,2794.428
2019-01-28,944.558,944.558
2019-01-29,1282.141,1282.141
2019-01-31,1304.017,1304.017
2019-02-02,6465.86885024,6465.86885024
2019-02-03,2950.914,2950.914
2019-02-11,1236.543,1236.543
2019-02-12,1912.695,1912.695
2019-02-13,954.594,954.594
2019-02-14,3022.183,3022.183
2019-02-15,2029.328,2029.328
2019-02-16,6211.276,6211.276
2019-02-17,13027.412,13027.412
2019-02-18,9371.120974212,9371.120974212
2019-02-20,13138.452,13138.452
2019-02-21,11443.021,11443.021
2019-02-22,14858.068404421,14858.068404421
2019-02-23,7187.45204872,7187.45204872
2019-02-24,8332.499,8332.499
2019-02-25,7797.614427879,7797.614427879
2019-02-28,1384.821,1384.821
2019-03-01,1153.874,1153.874
2019-03-02,3370.598087052,3370.598087052
2019-03-03,9955.851408548,9955.851408548
2019-03-04,1032.315,1032.315
2019-03-07,2074.615,2074.615
2019-03-08,2092.924193195,2092.924193195
2019-03-09,4363.749,4363.749
2019-03-10,9920.838,9920.838
2019-03-12,4476.852,4476.852
2019-03-13,1204.561773933,1204.561773933
2019-03-14,1264.987,1264.987
2019-03-16,2489.758,2489.758
2019-03-17,1041.249,1041.249
2019-03-20,2105.943,2105.943
2019-03-21,2222.014,2222.014
2019-03-23,1187.255,1187.255
2019-03-24,2237.382,2237.382
2019-03-28,1282.496,1282.496
2019-03-29,20088.928,20088.928
2019-03-30,4185.828,4185.828
2019-03-31,5601.162,5601.162
2019-04-01,1728.981,1728.981
2019-04-02,1449.276,1449.276
2019-04-03,4658.699,4658.699
2019-04-04,1079.623,1079.623
2019-04-05,6366.663,6366.663
2019-04-06,1195.97,1195.97
2019-04-07,3014.863,3014.863
2019-04-08,5152.933,5152.933
2019-04-09,1132.121,1132.121
2019-04-10,1628.796,1628.796
2019-04-11,6934.200642246,6934.200642246
2019-04-12,2978.571,2978.571
2019-04-14,1101.897,1101.897
2019-04-15,17676.844,17676.844
2019-04-16,12624.903057385,12624.903057385
2019-04-17,2076.57,2076.57
2019-04-18,1216.177,1216.177
2019-04-19,1302.975,1302.975
2019-04-21,7783.824,7783.824
2019-04-22,944.804,944.804
2019-04-24,1127.328054532,1127.328054532
2019-04-25,990.162,990.162
2019-04-26,3163.189,3163.189
2019-04-27,3720.316,3720.316
2019-04-28,1461.78,1461.78
2019-04-29,1532.764114627,1532.764114627
2019-04-30,2298.917,2298.917
2019-05-01,2559.501,2559.501
2019-05-02,1867.31,1867.31
2019-05-04,5629.683,5629.683
2019-05-05,3924.839,3924.839
2019-05-06,1307.954,1307.954
2019-05-08,970.603,970.603
2019-05-09,1294.709004639,1294.709004639
2019-05-10,2590.803,2590.803
2019-05-11,2294.516,2294.516
2019-05-12,2025.232,2025.232
2019-05-15,1395.400173319,1395.400173319
2019-05-18,2578.423,2578.423
2019-05-19,1343.065969555,1343.065969555
2019-05-21,1919.023721805,1919.023721805
2019-05-22,1421.615,1421.615
2019-05-24,1412.45,1412.45
2019-05-25,6759.677,6759.677
2019-05-29,4843.098,4843.098
2019-05-30,1093.302,1093.302
2019-06-01,2642.588333496,2642.588333496
2019-06-07,972.56,972.56
2019-06-14,914.966,914.966
2019-06-15,2721.437,2721.437
2019-06-16,2744.84,2744.84
2019-06-21,943.072,943.072
2019-06-22,7027.960289252,7027.960289252
2019-06-24,1437.620360147,1437.620360147
2019-06-28,2046.1,2046.1
2019-06-29,3844.173,3844.173
2019-07-03,1404.638,1404.638
2019-07-05,2318.048,2318.048
2019-07-06,7535.31738752,7535.31738752
2019-07-10,1932.200578132,1932.200578132
2019-07-11,2182.31,2182.31
2019-07-14,1465.314,1465.314
2019-07-26,2102.824,2102.824
2019-07-27,1536.187,1536.187
2019-07-31,1341.247174697,1341.247174697
2019-08-02,1909.003025972,1909.003025972
2019-08-04,4065.49836387,4065.49836387
2019-08-06,2330.845,2330.845
2019-08-11,926.042,926.042
2019-08-15,919.681904616,919.681904616
2019-08-18,1036.438,1036.438
2019-08-20,2340.645,2340.645
2019-08-23,1503.784038243,1503.784038243
2019-08-24,7589.446289905,7589.446289905
